"https://www.elance.com/j/app-marketing/76365427/",https://www.elance.com/s/boucherco/10178/,Boucher + Co.,Bidder,,,"Bid ID: 76418922  |  Submitted: Aug  3, 2015 13:36 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/76365427/",https://www.elance.com/s/app_shine_marketing/10178/,App Shine Marketing,Winner,,,"Bid ID: 76410665  |  Submitted: Aug  3, 2015 10:32 ET |$15.00/hr"
"https://www.elance.com/j/app-marketing/76365427/",https://www.elance.com/s/comboapp/10178/,ComboApp,Bidder,,,"Bid ID: 76401075  |  Submitted: Aug  3, 2015 06:22 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/76365427/",https://www.elance.com/s/crvenk/10178/,Dot Com Infoway,Bidder,,,"Bid ID: 76398068  |  Submitted: Aug  3, 2015 04:54 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/76365427/",https://www.elance.com/s/akhilchandra/10178/,Studio Mosaic,Bidder,,,"Bid ID: 76395971  |  Submitted: Aug  3, 2015 03:51 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/76365427/",https://www.elance.com/s/torikul/10178/,Md. Tarikul I.,Bidder,,,"Bid ID: 76394540  |  Submitted: Aug  3, 2015 03:15 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/76365427/",https://www.elance.com/s/webmarketingbooster/10178/,Marketing Booster,Winner,,,"Bid ID: 76389615  |  Submitted: Aug  3, 2015 00:38 ET |$12.00/hr"
"https://www.elance.com/j/app-marketing/76365427/",https://www.elance.com/s/positivesource/10178/,Jundy S.,Bidder,,,"Bid ID: 76378450  |  Submitted: Aug  2, 2015 12:51 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/76365427/",https://www.elance.com/s/adamrails/10178/,Adam T.,Bidder,,,"Bid ID: 76378085  |  Submitted: Aug  2, 2015 12:34 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/76365427/",https://www.elance.com/s/keencoders/10178/,Keencoders,Bidder,Invited,,"Bid ID: 76376823  |  Submitted: Aug  2, 2015 11:36 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/76365427/",https://www.elance.com/s/pkton/10178/,Pratul Kanti T.,Bidder,,,"Bid ID: 76375473  |  Submitted: Aug  2, 2015 10:23 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/76365427/",https://www.elance.com/s/bulkemail-expert/10178/,Creative Wings,Bidder,Invited,,"Bid ID: 76372480  |  Submitted: Aug  2, 2015 07:03 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/76365427/",https://www.elance.com/s/muahmedel/10178/,Moinuddin Ahmed,Bidder,,,"Bid ID: 76371609  |  Submitted: Aug  2, 2015 06:06 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/76365427/",https://www.elance.com/s/appplanet/10178/,App Planet,Bidder,,,"Bid ID: 76367407  |  Submitted: Aug  2, 2015 00:36 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/76365427/",https://www.elance.com/s/ledivalee/10178/,Lana Lee L.,Bidder,Invited,,"Bid ID: 76367018  |  Submitted: Aug  1, 2015 23:58 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/76365427/",https://www.elance.com/s/keshu3014/10178/,Keshav Sharma,Bidder,,,"Bid ID: 76366827  |  Submitted: Aug  1, 2015 23:40 ET |Proposal SEALED"
"https://www.elance.com/j/app-marketing/76365427/",https://www.elance.com/s/jeevanramjat/10178/,Jeevan Ram Jat,Bidder,Invited,,"Bid ID: 76366452  |  Submitted: Aug  1, 2015 23:06 ET |Proposal SEALED"
"https://www.elance.com/j/app-store-content/75590774/",https://www.elance.com/s/webmarketingbooster/10178/,Marketing Booster,Winner,,,"Bid ID: 75675873  |  Submitted: Jul 15, 2015 04:15 ET |$19.00/hr"
"https://www.elance.com/j/app-store-content/75590774/",https://www.elance.com/s/timtolbert/10178/,Tim Tolbert,Bidder,,,"Bid ID: 75639602  |  Submitted: Jul 14, 2015 09:30 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-advertising-consultant-help-us-figure-out-our-revenue-model/75562721/",https://www.elance.com/s/seomedialabs/10178/,SEOMediaLabs,Bidder,Invited,,"Bid ID: 75581706  |  Submitted: Jul 13, 2015 06:25 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-advertising-consultant-help-us-figure-out-our-revenue-model/75562721/",https://www.elance.com/s/hiteshwadhwa/10178/,Web Technocrats,Bidder,Invited,,"Bid ID: 75581478  |  Submitted: Jul 13, 2015 06:19 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-advertising-consultant-help-us-figure-out-our-revenue-model/75562721/",https://www.elance.com/s/webmarketingbooster/10178/,Marketing Booster,Winner,,,"Bid ID: 75569554  |  Submitted: Jul 13, 2015 00:59 ET |$20.00/hr"
"https://www.elance.com/j/mobile-app-advertising-consultant-help-us-figure-out-our-revenue-model/75562721/",https://www.elance.com/s/anatoliylarin/10178/,Anatoliy L.,Bidder,Invited,,"Bid ID: 75566551  |  Submitted: Jul 12, 2015 22:37 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-advertising-consultant-help-us-figure-out-our-revenue-model/75562721/",https://www.elance.com/s/semsolutions1/10178/,Sem S.,Bidder,Invited,,"Bid ID: 75564742  |  Submitted: Jul 12, 2015 20:41 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-advertising-consultant-help-us-figure-out-our-revenue-model/75562721/",https://www.elance.com/s/bdayeshabd/10178/,Ayesha Akhter Sharmin,Bidder,,,"Bid ID: 75563032  |  Submitted: Jul 12, 2015 18:29 ET |Proposal SEALED"
"https://www.elance.com/j/app-store-optimization-aso-of-an-existing-app-iphone-ipad/74135508/",https://www.elance.com/s/saqibsharif85/10178/,Saqib Sharif,Bidder,,,"Bid ID: 74235168  |  Submitted: Jun 12, 2015 01:15 ET |Proposal SEALED"
"https://www.elance.com/j/app-store-optimization-aso-of-an-existing-app-iphone-ipad/74135508/",https://www.elance.com/s/toukiralam/10178/,MD. Toukir Alam,Bidder,,,"Bid ID: 74222189  |  Submitted: Jun 11, 2015 16:17 ET |Proposal SEALED"
"https://www.elance.com/j/app-store-optimization-aso-of-an-existing-app-iphone-ipad/74135508/",https://www.elance.com/s/webmarketingbooster/10178/,Marketing Booster,Winner,,,"Bid ID: 74182045  |  Submitted: Jun 11, 2015 00:29 ET |DeliveryWithin 2 weeks $180.00"
"https://www.elance.com/j/app-store-optimization-aso-of-an-existing-app-iphone-ipad/74135508/",https://www.elance.com/s/abduljobbar222/10178/,Abdul Jobbar,Bidder,,,"Bid ID: 74163650  |  Submitted: Jun 10, 2015 14:10 ET |Proposal SEALED"
"https://www.elance.com/j/app-store-optimization-aso-of-an-existing-app-iphone-ipad/74135508/",https://www.elance.com/s/sunjeetkumar/10178/,Sunjeet Kumar,Bidder,,,"Bid ID: 74136859  |  Submitted: Jun 10, 2015 04:07 ET |Proposal SEALED"
"https://www.elance.com/j/app-store-optimization-aso-of-an-existing-app-iphone-ipad/74135508/",https://www.elance.com/s/crvenk/10178/,Dot Com Infoway,Bidder,,,"Bid ID: 74136616  |  Submitted: Jun 10, 2015 04:00 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/akshatgoel/10178/,Digicom Dynamics,Bidder,,,"Bid ID: 73565066  |  Submitted: May 28, 2015 02:43 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/comboapp/10178/,ComboApp,Bidder,,,"Bid ID: 73535085  |  Submitted: May 27, 2015 11:44 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/carlos-arturo/10178/,Carlos Arturo Mendez Calderon,Winner,,,"Bid ID: 73184262  |  Submitted: May 19, 2015 16:45 ET |$25.00"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/webmarketingbooster/10178/,Marketing Booster,Winner,,,"Bid ID: 73160229  |  Submitted: May 19, 2015 08:29 ET |DeliveryWithin 1 month $493.15"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/virtualbrix/10178/,"Virtualbrix, Inc",Bidder,,,"Bid ID: 73140955  |  Submitted: May 19, 2015 01:07 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/jeevanramjat/10178/,Jeevan Ram Jat,Bidder,,,"Bid ID: 73007349  |  Submitted: May 15, 2015 11:50 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/sudarshanmuli/10178/,Muli Sudarshan Reddy,Bidder,,,"Bid ID: 72978711  |  Submitted: May 14, 2015 21:51 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/admind/10178/,Tyler Whittingham,Bidder,,,"Bid ID: 72973249  |  Submitted: May 14, 2015 17:35 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/crvenk/10178/,Dot Com Infoway,Bidder,,,"Bid ID: 72962638  |  Submitted: May 14, 2015 13:20 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/semsolutions1/10178/,Sem S.,Bidder,,,"Bid ID: 72958608  |  Submitted: May 14, 2015 11:52 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/akhilchandra/10178/,Studio Mosaic,Winner,,,"Bid ID: 72958300  |  Submitted: May 14, 2015 11:45 ET |$30.00"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/evolution-soft/10178/,Evolution Soft,Bidder,,,"Bid ID: 72957076  |  Submitted: May 14, 2015 11:17 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/rakeshmw/10178/,Marketing Wallah,Bidder,,,"Bid ID: 72943059  |  Submitted: May 14, 2015 05:56 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/seomedialabs/10178/,SEOMediaLabs,Bidder,,,"Bid ID: 72941458  |  Submitted: May 14, 2015 05:19 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/infrawebsoft/10178/,InfraWebSoft Technologies Pvt...,Bidder,,,"Bid ID: 72939383  |  Submitted: May 14, 2015 04:30 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/bulkemail-expert/10178/,Creative Wings,Winner,,,"Bid ID: 72938815  |  Submitted: May 14, 2015 04:16 ET |DeliveryWithin 3 weeks $273.97"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/flexsin/10178/,Flexsin Technologies,Bidder,,,"Bid ID: 72935262  |  Submitted: May 14, 2015 02:51 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/kirillstorch/10178/,Kirill Storch,Bidder,,,"Bid ID: 72933635  |  Submitted: May 14, 2015 02:12 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/diigit1marketing3/10178/,Digit1 Marketing,Bidder,,,"Bid ID: 72932116  |  Submitted: May 14, 2015 01:33 ET |Proposal SEALED"
"https://www.elance.com/j/mobile-app-marketing-specialist/72928868/",https://www.elance.com/s/vish___n/10178/,Vishal Nagpal,Bidder,,,"Bid ID: 72931221  |  Submitted: May 14, 2015 01:08 ET |Proposal SEALED"
